,track_name,artists,artist_count,released_year,released_month,released_day,in_spotify_playlists,in_spotify_charts,streams,in_apple_playlists,in_apple_charts,in_deezer_playlists,in_deezer_charts,in_shazam_charts,bpm,key,mode,danceability_%,valence_%,energy_%,acousticness_%,instrumentalness_%,liveness_%,speechiness_%
654,Die For You,Joji,1,2022,11,4,1703,0,246390068,38,45,36,16,20,148,8,Major,47,15,52,38,13,29,5
655,Doja,Central Cee,1,2022,7,20,4169,44,482257456,57,44,183,1,29,140,6,Major,91,97,57,38,0,40,29
656,Gatita,Bellakath,1,2022,10,3,1054,0,168684524,9,0,15,0,0,101,7,Major,90,76,81,15,24,33,6
657,Rumble,Skrillex,3,2022,1,17,2849,0,78489819,39,45,27,0,15,140,1,Minor,81,6,84,5,23,6,6
658,Rumble,Flowdan,3,2022,1,17,2849,0,78489819,39,45,27,0,15,140,1,Minor,81,6,84,5,23,6,6
659,Rumble,Fred again..,3,2022,1,17,2849,0,78489819,39,45,27,0,15,140,1,Minor,81,6,84,5,23,6,6
660,Niagara Falls (Foot or 2) [with Travis Scott & 21 Savage],Travis Scott,3,2022,12,2,1602,0,195516622,12,22,12,0,7,88,7,Minor,49,24,66,19,0,18,29
661,Niagara Falls (Foot or 2) [with Travis Scott & 21 Savage],21 Savage,3,2022,12,2,1602,0,195516622,12,22,12,0,7,88,7,Minor,49,24,66,19,0,18,29
662,Niagara Falls (Foot or 2) [with Travis Scott & 21 Savage],Metro Boomin,3,2022,12,2,1602,0,195516622,12,22,12,0,7,88,7,Minor,49,24,66,19,0,18,29
663,Yonaguni,Bad Bunny,1,2021,6,4,9644,28,1260594497,120,86,164,4,39,180,1,Major,64,44,65,28,0,14,12
664,Super Freaky Girl,Nicki Minaj,1,2022,8,12,4827,0,428685680,104,17,76,9,8,133,2,Major,95,91,89,6,0,31,24
665,Running Up That Hill (A Deal With God),Kate Bush,1,1985,9,16,21811,0,1024858327,117,1,676,3,1,108,10,Minor,63,20,55,72,0,6,6
