,track_name,artists,artist_count,released_year,released_month,released_day,in_spotify_playlists,in_spotify_charts,streams,in_apple_playlists,in_apple_charts,in_deezer_playlists,in_deezer_charts,bpm,mode,danceability_%,valence_%,energy_%,acousticness_%,instrumentalness_%,liveness_%,speechiness_%
33,Anti-Hero,Taylor Swift,1,2022,10,21,9082,56,999748277,242,142,165,9,97,Major,64,51,63,12,0,19,5
34,TQG,"Karol G, Shakira",2,2023,2,23,4284,49,618990393,115,123,184,18,180,Minor,72,61,63,67,0,9,28
35,Los del Espacio,"Big One, Duki, Lit Killah, Maria Becerra, FMK, Rusherking, Emilia, Tiago pzk",8,2023,6,1,1150,31,123122413,22,33,34,7,120,Major,81,63,68,11,0,11,4
36,Frgil (feat. Grupo Front,"Yahritza Y Su Esencia, Grupo Frontera",2,2023,4,7,672,34,188933502,19,108,24,9,150,Major,61,39,73,37,0,11,3
37,Blank Space,Taylor Swift,1,2014,1,1,11434,53,1355959075,154,123,410,2,96,Major,75,57,68,9,0,13,6
38,Style,Taylor Swift,1,2014,1,1,7830,42,786181836,94,111,151,4,95,Major,60,48,79,0,0,12,4
39,TQM,Fuerza Regida,1,2023,5,19,584,28,176553476,16,159,15,6,125,Minor,79,96,85,27,0,11,6
40,El Azul,"Junior H, Peso Pluma",2,2023,2,10,692,25,354495408,10,107,6,3,144,Minor,56,84,65,23,0,10,6
41,Sunflower - Spider-Man: Into the Spider-Verse,"Post Malone, Swae Lee",2,2018,10,9,24094,78,2808096550,372,117,843,4,90,Major,76,91,50,54,0,7,5
42,I'm Good (Blue),"Bebe Rexha, David Guetta",2,2022,8,26,12482,80,1109433169,291,184,537,45,128,Minor,56,38,97,4,0,35,4
43,See You Again,"Tyler, The Creator, Kali Uchis",3,2017,7,21,13387,64,1047101291,77,58,247,1,79,Major,56,58,56,37,0,11,10
44,Barbie World (with Aqua) [From Barbie The Album],"Nicki Minaj, Aqua, Ice Spice",3,2023,6,23,1117,80,65156199,82,145,65,16,144,Major,77,75,58,52,0,23,25
45,Angels Like You,Miley Cyrus,1,2020,11,27,3372,19,570515054,65,48,138,1,122,Major,67,49,64,10,0,10,3
